step,LLM (Monolithic),HRM (Static),"ARH (Ours, Principled)"
0,91.67905141219735,92.89944535140121,91.66427436189966
1,90.76092305690531,93.21044827158393,91.88311592591928
2,91.29797047137006,92.48115053468852,92.4153603141889
3,91.26384458143262,92.46057642774493,92.2272187048056
4,91.69629381846056,92.96709340586175,92.84716473646546
5,92.10768276513092,92.87804998356835,92.2273144240754
6,90.57444238174173,92.84427381883651,93.49684907471934
7,91.52636354534914,93.72387069053856,92.58316627691535
8,91.48500760156833,93.51680840026529,93.64270304225344
9,92.08123327771514,92.90551193329611,92.89226258836487
10,91.09556049928354,93.03077789575782,92.92013305955321
11,91.55970767754964,93.35089693305368,92.95047697304852
12,91.6193406647384,92.7451881950228,92.39781332753728
13,91.85839259293455,93.35848315764638,92.8340895512144
14,91.22835796358389,92.30817599258997,93.92309305349879
15,90.45828097182282,93.17134193857353,93.16385403023703
16,91.63376744674939,93.2042722066796,91.8358627979243
17,91.73842673352021,92.74751826093492,92.75013182197313
18,92.34910521940489,93.45331309833726,92.64777450124001
19,91.7615140545323,93.17971844608353,92.33101396056921
20,91.93716598744977,92.8553097432101,92.33135107404976
21,92.00600623916041,92.7182613817216,92.53357654134383
22,91.62271930425081,93.3281488739386,93.02504914068713
23,91.27793046104442,92.88654233118521,92.84713787812717
24,90.9004131124003,93.93617188834003,93.45851212538177
25,91.63160832274684,93.23068370447648,92.74606145447677
26,91.67675561085363,93.02795614299046,91.64035185168277
27,90.94675763512959,93.74968291735618,92.29806258876619
28,92.03062585534518,92.2456115174586,92.61191464823908
29,91.60500292483876,93.31060136900575,92.97499627712386
30,91.63902521139718,91.82415730993469,92.69518116284507
31,91.98452774385514,93.29320280725997,93.32732959250319
32,92.049472446266,93.42129109270401,93.77812129958306
33,91.21868231962817,92.48833865576239,92.86970023259953
34,91.89943959380976,93.61269758462913,92.81130259148074
35,91.22809329652122,93.25930105621191,93.86124855831942
36,90.97152778082258,92.62690799209538,94.08042433066072
37,91.26368608249652,94.2167432154334,92.6814142597793
38,92.55919133554538,92.93965069770114,91.7810192094114
39,91.47034649931796,93.03401581810482,92.22104405991833
40,91.64377921349158,92.7909496549348,92.91181358291894
41,90.80839629188526,93.81418105707833,94.03639282030915
42,91.32073410913702,92.65311822020121,93.69833583460291
43,91.63808978925387,93.00147576458238,93.76919940854722
44,92.30516330595123,92.4202767314684,92.45806436071389
45,92.26950443097014,93.20515827540952,93.0520111476737
46,91.88276418493048,92.67197910176067,93.84487631536149
47,90.77652692036925,93.27775513404838,93.23239281770019
48,90.52197143127086,92.9253803867642,92.9752039284576
49,91.52755273373606,93.15724021676836,92.25559123491576
50,91.62450721152156,93.45750148385955,93.0852141769113
51,92.02450380709597,92.84099088476339,92.69486931127828
52,91.85175693582194,92.54556507739444,92.71879995232132
53,90.88973221131911,93.53249768098779,93.11074783690118
54,91.13372825808457,93.30393263988188,92.20930175623671
55,91.33293352766613,93.62046165650275,92.07146914716567
56,92.21035621976392,93.74056064517296,92.97774873301891
57,91.04299577789679,93.86064120048428,91.24503807456486
58,91.70874436027168,93.35045831361703,92.29544169050078
59,91.70880022802483,93.10943585713959,93.54973023567446
60,91.4642081517315,92.29142185056696,93.15340728462087
61,91.5676145433376,93.69687370270495,93.64924324003658
62,91.40198638369569,93.34422498346031,93.03734832833064
63,92.31476484292916,93.24109575212512,92.40042212796317
64,91.14726525409847,92.52413025847278,92.5884110604431
65,91.5711484937699,92.93449468338594,93.03132333054253
66,91.03449354118237,92.69511325183689,92.00258900403973
67,91.60442498510639,92.94056987836063,93.00723906031132
68,90.93975577390063,92.3710312148388,92.36460978912268
69,91.94221300160486,92.34761604268765,92.64208087751108
70,90.97028479952229,91.9870605817007,92.1478999492081
71,92.01965867476252,93.67920547925215,92.37499732936692
72,92.35457431953581,93.42420622814532,92.80338818560551
73,91.35065087593236,93.38183685470295,92.96894327874362
74,92.7598917933712,93.15858366098642,92.87153720210087
75,92.34149691118634,93.71557275271086,93.04675107168225
76,91.96828902193444,92.77027111473166,93.25051645801837
77,90.78092506150547,93.34814381877256,92.77524650849162
78,91.54594701065508,92.71327845369586,92.37506285784104
79,91.47335432115011,92.66146852726473,93.43257686342004
80,91.82096030726004,92.16480751702352,92.54374243609195
81,91.89407479823497,93.72506816448886,92.52209918664529
82,91.05435138123782,92.70415129992038,92.82462264376305
83,91.17988523677165,93.22109331394164,92.27138149711969
84,91.30177207792943,93.27870006173492,93.02166068603877
85,91.11625465432877,93.05907794769399,92.40688064514686
86,90.73237624067917,93.94229399971336,93.03330198946722
87,91.87060911147384,92.93184711161307,92.62317965485744
88,91.22318578164789,93.39474272920208,92.85697716559899
89,92.23300747135977,92.90182599314703,92.45517482240857
90,91.51277820192435,93.17590842330806,92.06043698974145
91,91.29935778892155,93.05748346079872,92.27178945306262
92,91.4996134014287,93.71096860447904,92.1609047979021
93,91.20981029678144,93.10065306841328,92.96264681440721
94,91.86242663006263,93.23774067734894,93.24026393430661
95,91.14871178474213,92.93602726727683,93.97411772136006
96,91.78155063635094,94.08769824516396,92.81462637138351
97,91.81520669000635,92.36106826739132,92.21267788089663
98,90.78210897795377,93.29494700731877,93.50535472371594
99,91.6679665638802,92.69941286219343,92.46703899827024
100,90.77963890731236,92.58563250047942,93.3798599534091
101,91.69080172601127,93.03941762138682,93.32743394484766
102,90.78090868662169,93.49474512979256,93.49182022505745
103,91.14266780537703,92.6705984532902,92.50038853640328
104,92.28735717073434,92.63732136496722,92.73085043659826
105,92.30836462389281,93.4447679492785,92.24893218232779
106,91.61798364852251,93.7197919738403,93.12746110158274
107,92.16262026009723,92.99688984981151,92.92921257352684
108,91.56848972163723,92.91802637484798,93.40686238287103
109,91.49513144421412,93.22250037494874,92.72096486870461
110,92.1309608956193,92.85045609474496,93.21982185219237
111,90.83041423620506,92.74020073047252,93.70576753945532
112,90.81891193557776,93.31118482940911,92.89488463388234
113,91.81862582137855,93.86655075045687,92.84895754286498
114,91.61550800590936,93.09598606571147,92.1710333815503
115,91.27287164590831,93.4821472986431,92.07408805823223
116,91.24070341075966,92.25822706501805,93.4377830900744
117,91.08149334081824,93.91942094409538,93.75322099642821
118,91.16797598735319,92.84093431093594,92.1554783815886
119,91.57537546477289,92.81632207015699,93.14986036498566
120,91.76341512869419,93.3178774350622,92.18440513667217
121,91.74547743413515,92.84626000003168,91.69886035158945
122,91.45477820212027,93.2075602437715,92.41259177182208
123,91.33181153992493,92.41225914564347,93.71300412287698
124,91.42468076734706,93.05093196618895,91.89651959274362
125,91.5545990197962,92.97555976309891,91.61104415036831
126,91.68954221035139,92.49251838332616,94.23581238336841
127,91.05945818830969,93.37472888220356,92.40668200923452
128,91.46289123661226,92.76326690222848,93.72384350105047
129,92.44267623762669,93.15829238648564,92.48912526856702
130,91.15025750417615,94.25959530186262,93.89485628181421
131,91.63158609408543,93.8532806022749,92.90636504689007
132,91.15213302639488,93.29124328009885,92.80829173089697
133,92.19130389517191,93.11098242873085,92.44214444206612
134,91.41854055278154,92.74162730005976,92.80968596945958
135,91.58837420053814,93.47823795858739,93.376572303193
136,91.96008078126152,93.19547991613254,92.01713433529004
137,91.8224375966091,93.04438958969209,92.55813752855238
138,92.23768262295286,93.189269964326,91.89827895811963
139,91.5874953472378,91.8416986741148,92.84774305895665
140,91.21244172018986,94.92775476931203,92.38287392454802
141,91.32488628565643,93.02284595649851,92.85387009549548
142,91.29115204452432,92.88886238002944,93.54024920762564
143,92.12151118120903,93.50021160267598,92.3312511202177
144,91.4305840765718,93.2788139073075,91.8683709753893
145,91.88934288893589,93.60551092413675,93.23218426549
146,91.10143094791107,93.55957708784096,91.98862894348676
147,91.64397992082525,93.11809004506574,92.45146308809282
148,92.54492980038067,92.96269832765292,93.37108561571375
149,91.4923441251647,93.97947648963002,92.64217233635532
150,90.65793078860564,92.89166960896401,92.17356719802845
151,91.5744242725473,93.45693545231599,92.93955256821553
152,91.48927026490628,93.51326070177595,93.0291662095909
153,91.48076113504452,93.0437482891087,93.3570798579855
154,91.51840353195027,93.40296251921455,92.78691722332205
155,91.57246251801858,92.53323134778356,92.91480446718184
156,91.40097374677376,93.42767974509849,93.08804807914429
157,91.27808602265824,92.07875260802234,92.41133839767838
158,91.15637063247864,93.63882268714838,92.92991446974202
159,91.62347372206256,93.75401973690408,92.58334367995272
160,91.91727555865076,93.64065354867839,92.99506321937949
161,91.650687201427,92.49111602351763,92.47993729168951
