step,ARH_Accuracy,Baseline_Accuracy,ARH_Dissonance,ARH_Nodes
0,23.5,24.0,0.0,0
1,23.5,24.0,0.5,1
2,23.5,24.0,0.975,1
3,23.5,24.0,0.9262499999999999,1
4,23.5,23.5,1.3799374999999998,1
5,23.0,23.5,1.8109406249999997,1
6,23.0,23.5,2.22039359375,1
7,23.0,23.5,2.6093739140624996,1
8,23.0,23.5,2.9789052183593747,1
9,23.5,23.5,2.829959957441406,1
10,23.5,23.0,3.1884619595693353,1
11,24.0,22.5,3.0290388615908683,1
12,24.5,22.5,2.8775869185113248,1
13,25.0,22.5,2.7337075725857582,1
14,25.0,22.5,3.0970221939564704,1
15,25.0,22.0,3.442171084258647,1
16,24.5,22.0,3.7700625300457142,1
17,24.5,22.5,4.081559403543428,1
18,25.0,22.5,3.8774814333662566,1
19,25.0,23.0,4.183607361697943,1
20,25.0,23.5,4.474426993613045,1
21,25.0,23.5,4.750705643932393,1
22,24.5,23.5,4.513170361735773,1
23,24.5,23.5,4.787511843648984,1
24,24.0,24.0,0.0,1
25,24.0,23.5,0.0,5
26,24.5,24.0,0.0,5
27,25.0,24.0,0.0,5
28,25.5,23.5,0.0,5
29,26.0,24.0,0.0,5
30,26.5,24.5,0.0,5
31,27.0,25.0,0.0,5
32,27.0,25.0,0.0,5
33,27.500000000000004,25.0,0.0,5
34,28.000000000000004,25.0,0.0,5
35,28.499999999999996,25.0,0.0,5
36,28.999999999999996,25.0,0.0,5
37,29.5,25.0,0.0,5
38,29.5,25.0,0.0,5
39,30.0,24.5,0.0,5
40,30.5,24.0,0.0,5
41,31.0,24.0,0.0,5
42,31.5,24.5,0.0,5
43,31.5,24.5,0.0,5
44,32.0,24.5,0.0,5
45,32.5,24.5,0.0,5
46,33.0,25.0,0.0,5
47,33.5,25.5,0.0,5
48,33.5,25.5,0.0,5
49,34.0,26.0,0.0,5
50,34.5,26.0,0.0,5
51,35.0,26.0,0.0,5
52,35.0,26.5,0.0,5
53,35.5,26.5,0.0,5
54,36.0,27.0,0.0,5
55,36.5,27.0,0.0,5
56,37.0,27.0,0.0,5
57,37.5,27.0,0.0,5
58,38.0,27.500000000000004,0.0,5
59,38.5,28.000000000000004,0.0,5
60,39.0,28.000000000000004,0.0,5
61,39.5,28.000000000000004,0.0,5
62,40.0,27.500000000000004,0.0,5
63,40.5,27.500000000000004,0.0,5
64,41.0,27.500000000000004,0.0,5
65,41.5,28.000000000000004,0.0,5
66,41.5,28.000000000000004,0.0,5
67,42.0,28.499999999999996,0.0,5
68,42.0,28.999999999999996,0.0,5
69,42.5,28.999999999999996,0.0,5
70,43.0,28.499999999999996,0.0,5
71,43.0,28.999999999999996,0.0,5
72,43.5,29.5,0.0,5
