time mean_S std_S upper_S lower_S ideal_page
0.00 0.00 0.00 0.00 0.00 0.00
1.00 0.98 0.05 1.03 0.93 1.00
2.00 1.95 0.08 2.03 1.87 2.00
3.00 2.90 0.10 3.00 2.80 3.00
4.00 3.85 0.12 3.97 3.73 4.00
5.00 4.80 0.15 4.95 4.65 5.00
6.00 5.70 0.18 5.88 5.52 6.00
7.00 6.60 0.20 6.80 6.40 7.00
8.00 7.40 0.25 7.65 7.15 8.00
9.00 8.10 0.30 8.40 7.80 9.00
10.00 8.50 0.50 9.00 8.00 10.00
11.00 8.15 0.35 8.50 7.80 9.00
12.00 7.45 0.28 7.73 7.17 8.00
13.00 6.65 0.22 6.87 6.43 7.00
14.00 5.75 0.19 5.94 5.56 6.00
15.00 4.85 0.16 5.01 4.69 5.00
16.00 3.90 0.13 4.03 3.77 4.00
17.00 2.95 0.11 3.06 2.84 3.00
18.00 1.98 0.09 2.07 1.89 2.00
19.00 1.01 0.06 1.07 0.95 1.00
20.00 0.05 0.05 0.10 0.00 0.00
