# L chi err
2 8 1.1703200460356393
2 16 0.9493289641172216
2 32 0.7018965179946554
3 8 1.1703200460356393
3 16 0.9493289641172216
3 32 0.7018965179946554
4 8 1.1703200460356393
4 16 0.9493289641172216
4 32 0.7018965179946554
5 8 1.1703200460356393
5 16 0.9493289641172216
5 32 0.7018965179946554
6 8 1.1703200460356393
6 16 0.9493289641172216
6 32 0.7018965179946554
7 8 1.0796854225746302
7 16 0.8586943406562124
7 32 0.6112618945336463
8 8 1.0054800690534589
8 16 0.7844889871350412
8 32 0.537056541012475
9 8 0.9447258640826526
9 16 0.7237347821642348
9 32 0.4763023360416686
10 8 0.8949845280942501
10 16 0.6739934461758323
10 32 0.42656100005326614
11 8 0.8542597666213605
11 16 0.6332686847029427
11 32 0.3858362385803765
12 8 0.8209171519917404
12 16 0.5999260700733227
12 32 0.35249362395075645
13 8 0.7936185280064426
13 16 0.5726274460880248
13 32 0.32519499996545864
14 8 0.7712683050329671
14 16 0.5502772231145493
14 32 0.3028447769919831
15 8 0.7529694901464326
15 16 0.5319784082280148
15 32 0.28454596210544864
16 8 0.7379876876539457
16 16 0.516996605735528
16 32 0.26956415961296176
17 8 0.7257216252168063
17 16 0.5047305432983885
17 32 0.2572980971758223
18 8 0.7156790226803456
18 16 0.4946879407619278
18 32 0.24725549463936164
19 8 0.7074568351428062
19 16 0.4864657532243885
19 32 0.23903330710182233
20 8 0.7007250773482483
20 16 0.47973399542983053
20 32 0.23230154930726438
