time mean_S std_S upper_S lower_S
0.00 0.00 0.00 0.00 0.00
1.00 0.98 0.01 0.99 0.97
2.00 0.97 0.02 1.00 0.95
3.00 0.97 0.02 0.99 0.95
4.00 0.97 0.02 1.00 0.95
5.00 0.93 0.07 1.00 0.86
6.00 0.93 0.06 0.99 0.87
7.00 0.93 0.05 0.98 0.88
8.00 0.94 0.05 0.99 0.89
9.00 0.87 0.08 0.95 0.79
10.00 0.87 0.10 0.97 0.76
11.00 0.86 0.09 0.95 0.77
12.00 0.87 0.09 0.96 0.77
13.00 0.76 0.13 0.89 0.63
14.00 0.73 0.21 0.94 0.53
15.00 0.74 0.15 0.89 0.59
16.00 0.71 0.19 0.90 0.52
17.00 0.75 0.17 0.92 0.58
18.00 0.72 0.13 0.85 0.59
19.00 0.79 0.14 0.93 0.66
20.00 0.73 0.16 0.90 0.57
