time mean_S std_S ideal_page bh_entropy
0.00 0.00 0.00 0.00 24.00
1.00 0.99 0.04 1.00 23.00
2.00 2.00 0.06 2.00 22.00
3.00 3.01 0.05 3.00 21.00
4.00 4.00 0.06 4.00 20.00
5.00 5.02 0.05 5.00 19.00
6.00 6.02 0.04 6.00 18.00
7.00 7.00 0.05 7.00 17.00
8.00 7.98 0.05 8.00 16.00
9.00 8.99 0.04 9.00 15.00
10.00 10.00 0.04 10.00 14.00
11.00 11.00 0.04 11.00 13.00
12.00 12.01 0.04 12.00 12.00
13.00 10.98 0.05 11.00 11.00
14.00 9.98 0.04 10.00 10.00
15.00 9.00 0.05 9.00 9.00
16.00 7.99 0.06 8.00 8.00
17.00 7.00 0.06 7.00 7.00
18.00 5.99 0.04 6.00 6.00
19.00 4.98 0.05 5.00 5.00
20.00 4.00 0.04 4.00 4.00
21.00 3.00 0.05 3.00 3.00
22.00 1.99 0.06 2.00 2.00
23.00 1.01 0.05 1.00 1.00
24.00 0.05 0.00 0.00 0.00
