# L chi err
2 8 1.17032
2 16 0.949329
2 32 0.701897
3 8 1.17032
3 16 0.949329
3 32 0.701897
4 8 1.17032
4 16 0.949329
4 32 0.701897
5 8 1.17032
5 16 0.949329
5 32 0.701897
6 8 1.17032
6 16 0.949329
6 32 0.701897
7 8 1.079685
7 16 0.858694
7 32 0.611262
8 8 1.00548
8 16 0.784489
8 32 0.537057
9 8 0.944726
9 16 0.723735
9 32 0.476302
10 8 0.894985
10 16 0.673993
10 32 0.426561
11 8 0.85426
11 16 0.633269
11 32 0.385836
12 8 0.820917
12 16 0.599926
12 32 0.352494
13 8 0.793619
13 16 0.572627
13 32 0.325195
14 8 0.771268
14 16 0.550277
14 32 0.302845
15 8 0.752969
15 16 0.531978
15 32 0.284546
16 8 0.737988
16 16 0.516997
16 32 0.269564
17 8 0.725722
17 16 0.504731
17 32 0.257298
18 8 0.715679
18 16 0.494688
18 32 0.247255
19 8 0.707457
19 16 0.486466
19 32 0.239033
20 8 0.700725
20 16 0.479734
20 32 0.232302
