# t S_mean std_S upper_S lower_S ideal_page hawking bh_entropy
0 0.0202 0.0276 0.0479 0.0 0 0.0 12
1 0.5807 0.0535 0.6342 0.5272 1 0.5 11
2 1.1695 0.0556 1.2251 1.114 2 1.0 10
3 1.7515 0.0476 1.7991 1.7039 3 1.5 9
4 2.3344 0.054 2.3884 2.2804 4 2.0 8
5 2.9171 0.0475 2.9646 2.8696 5 2.5 7
6 3.507 0.0526 3.5596 3.4545 6 3.0 6
7 3.0705 0.048 3.1185 3.0225 5 3.5 5
8 2.6063 0.0484 2.6546 2.5579 4 4.0 4
9 2.1307 0.0491 2.1799 2.0816 3 4.5 3
10 1.6078 0.0425 1.6503 1.5653 2 5.0 2
11 1.077 0.0583 1.1353 1.0187 1 5.5 1
12 0.4915 0.0491 0.5406 0.4424 0 6.0 0.0
