batch_tokens,hidden_dim,expansion_dim,rank,dense_ms_sim,eph_ms_sim,dense_ms_meas,eph_ms_meas,dense_error_ratio,eph_error_ratio,measured_speedup_dense_over_eph,simulated_speedup_dense_over_eph
1,1024,4096,16,0.00524288,0.0001024,0.0274604186415672,0.0340627506375312,5.237659195245208,332.6440491946406,0.8061714960655766,51.2
1,1024,4096,32,0.00524288,0.0002048,0.0274604186415672,0.0350244343280792,5.237659195245208,171.01774574257425,0.7840360356527469,25.6
1,1024,4096,64,0.00524288,0.0004096,0.0274604186415672,0.0427810475230217,5.237659195245208,104.44591680425219,0.6418828016492576,12.8
1,1024,4096,128,0.00524288,0.0008192,0.0274604186415672,0.0362638384103775,5.237659195245208,44.26738087204285,0.7572397144177915,6.4
8,1024,4096,16,0.00524288,0.0001024,0.0218452885746955,0.0370623543858528,4.166658129633999,361.93705454934377,0.5894198827000084,51.2
8,1024,4096,32,0.00524288,0.0002048,0.0218452885746955,0.0351928174495697,4.166658129633999,171.83992895297706,0.6207314491372898,25.6
8,1024,4096,64,0.00524288,0.0004096,0.0218452885746955,0.039859116077423,4.166658129633999,97.312295110896,0.5480625443941821,12.8
8,1024,4096,128,0.00524288,0.0008192,0.0218452885746955,0.0359222292900085,4.166658129633999,43.85037755127991,0.6081273074210793,6.4
32,1024,4096,16,0.00524288,0.0001024,0.0220831483602523,0.0527163967490196,4.212026283312283,514.8085620021445,0.4189047378444543,51.2
32,1024,4096,32,0.00524288,0.0002048,0.0220831483602523,0.0373067334294319,4.212026283312283,182.16178432339797,0.5919346544243549,25.6
32,1024,4096,64,0.00524288,0.0004096,0.0220831483602523,0.0323642045259475,4.212026283312283,79.01417120592652,0.6823324930649068,12.8
32,1024,4096,128,0.00524288,0.0008192,0.0220831483602523,0.0371254980564117,4.212026283312283,45.31921149464319,0.5948242991029306,6.4
1,2048,8192,16,0.02097152,0.0002048,0.0278187915682792,0.0366628170013427,1.326503351606331,179.01766113936864,0.7587739798406761,102.4
1,2048,8192,32,0.02097152,0.0004096,0.0278187915682792,0.0366412103176116,1.326503351606331,89.45607987698145,0.7592214156448893,51.2
1,2048,8192,64,0.02097152,0.0008192,0.0278187915682792,0.0369597226381301,1.326503351606331,45.11684892349866,0.7526785804279682,25.6
1,2048,8192,128,0.02097152,0.0016384,0.0278187915682792,0.0365138053894043,1.326503351606331,22.286258172243834,0.7618705109369881,12.8
8,2048,8192,16,0.02097152,0.0002048,0.0264497473835945,0.0372754409909248,1.2612222377583742,182.0089892135,0.7095757066974483,102.4
8,2048,8192,32,0.02097152,0.0004096,0.0264497473835945,0.0409217551350593,1.2612222377583742,99.90662874770338,0.6463492901587191,51.2
8,2048,8192,64,0.02097152,0.0008192,0.0264497473835945,0.0380089506506919,1.2612222377583742,46.39764483727039,0.6958820733219325,25.6
8,2048,8192,128,0.02097152,0.0016384,0.0264497473835945,0.0368783250451087,1.2612222377583742,22.50874331366498,0.7172166130441605,12.8
32,2048,8192,16,0.02097152,0.0002048,0.0312831252813339,0.0365644693374633,1.4916956558863592,178.53744793683254,0.8555607628983629,102.4
32,2048,8192,32,0.02097152,0.0004096,0.0312831252813339,0.0450113788247108,1.4916956558863592,109.8910615837666,0.6950048209622892,51.2
32,2048,8192,64,0.02097152,0.0008192,0.0312831252813339,0.0372307375073432,1.4916956558863592,45.44767762126856,0.8402499487194895,25.6
32,2048,8192,128,0.02097152,0.0016384,0.0312831252813339,0.0428026542067527,1.4916956558863592,26.12466687423871,0.7308688178593973,12.8
1,4096,16384,16,0.08388608,0.0004096,0.0723877921700477,0.0368893146514892,0.8629297276740993,90.06180334836232,1.9622970189045095,204.8
1,4096,16384,32,0.08388608,0.0008192,0.0723877921700477,0.0376559793949127,0.8629297276740993,45.966771722305545,1.9223452246690802,102.4
1,4096,16384,64,0.08388608,0.0016384,0.0723877921700477,0.0372193753719329,0.8629297276740993,22.716903913533265,1.9448954058652816,51.2
1,4096,16384,128,0.08388608,0.0032768,0.0723877921700477,0.0363081693649292,0.8629297276740993,11.080373951699585,1.9937053681359256,25.6
8,4096,16384,16,0.08388608,0.0004096,0.0719502568244934,0.0364342704415321,0.8577138999044107,88.95085557014673,1.974796145292811,204.8
8,4096,16384,32,0.08388608,0.0008192,0.0719502568244934,0.0374088063836097,0.8577138999044107,45.66504685499231,1.9233507769982654,102.4
8,4096,16384,64,0.08388608,0.0016384,0.0719502568244934,0.037294253706932,0.8577138999044107,22.762606022297362,1.9292585230394295,51.2
8,4096,16384,128,0.08388608,0.0032768,0.0719502568244934,0.0407313928008079,0.8577138999044107,12.430234619387177,1.766457070995772,25.6
32,4096,16384,16,0.08388608,0.0004096,0.1018993556499481,0.0370444729924202,1.21473497927127,90.44060789165087,2.7507303362312134,204.8
32,4096,16384,32,0.08388608,0.0008192,0.1018993556499481,0.0372387468814849,1.21473497927127,45.45745468931263,2.736379824333252,102.4
32,4096,16384,64,0.08388608,0.0016384,0.1018993556499481,0.036843866109848,1.21473497927127,22.487711248686526,2.765707467998626,51.2
32,4096,16384,128,0.08388608,0.0032768,0.1018993556499481,0.0400684773921966,1.21473497927127,12.227928891661561,2.543130218114881,25.6
