scenario,mode,batch_tokens,hidden_dim,expansion_dim,rank,basis_size,dtype,trials,avg_ms,std_ms,min_ms,max_ms,ci95_ms
ffn,dense,1,2048,8192,0,0,float16,3,0.0657318780819575,0.017128611067117303,0.05444865673780441,0.08544139564037323,0.019382848092471372
ffn,dense,1,4096,16384,0,0,float16,3,0.27825844784577686,0.018145776845316784,0.26523247361183167,0.2989845350384712,0.020533879526745107
ffn,dense,1,8192,32768,0,0,float16,3,1.473052054643631,0.03149120357471837,1.440609060227871,1.5034962445497513,0.03563565152749916
ffn,dense,8,2048,8192,0,0,float16,3,0.06807254006465276,0.006379526751053824,0.06172563880681991,0.0744841992855072,0.007219114114565755
ffn,dense,8,4096,16384,0,0,float16,3,0.2694303169846535,0.026510908238478112,0.23924950510263443,0.288955494761467,0.02999991681557574
ffn,dense,8,8192,32768,0,0,float16,3,1.443832243482272,0.014493029382485718,1.430092379450798,1.4589762315154076,0.01640040665408852
ffn,dynamic_ephemeral,1,2048,8192,16,8,float16,3,0.274127038816611,0.009817660847464485,0.26281140744686127,0.28037969022989273,0.011109729100868297
ffn,dynamic_ephemeral,1,2048,8192,32,8,float16,3,0.29929690062999725,0.01936845062954517,0.2789739519357681,0.31754355877637863,0.021917465162117605
ffn,dynamic_ephemeral,1,2048,8192,64,8,float16,3,0.38361245145400363,0.08109468041416673,0.32811500132083893,0.47667864710092545,0.09176726971125304
ffn,dynamic_ephemeral,1,4096,16384,16,8,float16,3,0.3843340401848157,0.031002221452701678,0.35156775265932083,0.41320379823446274,0.03508231616633966
ffn,dynamic_ephemeral,1,4096,16384,32,8,float16,3,0.406071109076341,0.01914212435789526,0.38500092923641205,0.4223903641104698,0.021661352875748555
ffn,dynamic_ephemeral,1,4096,16384,64,8,float16,3,0.45270565897226334,0.062345707287102335,0.3818109631538391,0.49899015575647354,0.07055080933465126
ffn,dynamic_ephemeral,1,8192,32768,16,8,float16,3,0.3734851876894633,0.025158421485993294,0.3446107730269432,0.3906877711415291,0.028469433977955618
ffn,dynamic_ephemeral,1,8192,32768,32,8,float16,3,0.44293180108070374,0.030119182055702586,0.408158078789711,0.4608249291777611,0.03408306302055722
ffn,dynamic_ephemeral,1,8192,32768,64,8,float16,3,0.698184904952844,0.0535330505378416,0.6365429610013962,0.7330046966671944,0.0605783494315868
ffn,dynamic_ephemeral,8,2048,8192,16,8,float16,3,0.2856791640321414,0.015978220693106324,0.26749372482299805,0.2974683418869972,0.018081058835938923
ffn,dynamic_ephemeral,8,2048,8192,32,8,float16,3,0.3068206210931142,0.015944301008467256,0.28843358159065247,0.3168255090713501,0.018042675099386823
ffn,dynamic_ephemeral,8,2048,8192,64,8,float16,3,0.3400363028049469,0.018187166269873406,0.3192143514752388,0.3528153523802757,0.02058071606974747
ffn,dynamic_ephemeral,8,4096,16384,16,8,float16,3,0.40303611507018405,0.027450614629792203,0.37142764776945114,0.4208933562040329,0.03106329470202517
ffn,dynamic_ephemeral,8,4096,16384,32,8,float16,3,0.4237227762738864,0.026854306399462055,0.3929330036044121,0.44230297207832336,0.030388508416115012
ffn,dynamic_ephemeral,8,4096,16384,64,8,float16,3,0.4869564125935237,0.028283326299863843,0.4544060677289963,0.5055343732237816,0.03200559666349665
ffn,dynamic_ephemeral,8,8192,32768,16,8,float16,3,0.3778627763191859,0.02582985524132504,0.36085639148950577,0.4075855016708374,0.02922923279834783
