trial,scenario,mode,batch_tokens,hidden_dim,expansion_dim,rank,basis_size,dtype,avg_ms
0,ffn,dense,1,2048,8192,0,0,float16,0.08544139564037323
0,swiglu,dense,1,2048,8192,0,0,float16,0.0813780352473259
0,ffn,static_ephemeral,1,2048,8192,16,0,float16,0.08237510919570923
0,ffn,dynamic_ephemeral,1,2048,8192,16,8,float16,0.28037969022989273
0,swiglu,static_ephemeral,1,2048,8192,16,0,float16,0.13049636036157608
0,swiglu,dynamic_ephemeral,1,2048,8192,16,8,float16,0.40539465844631195
0,ffn,static_ephemeral,1,2048,8192,32,0,float16,0.0827394425868988
0,ffn,dynamic_ephemeral,1,2048,8192,32,8,float16,0.31754355877637863
0,swiglu,static_ephemeral,1,2048,8192,32,0,float16,0.13022944331169128
0,swiglu,dynamic_ephemeral,1,2048,8192,32,8,float16,0.44292863458395004
0,ffn,static_ephemeral,1,2048,8192,64,0,float16,0.08334647864103317
0,ffn,dynamic_ephemeral,1,2048,8192,64,8,float16,0.3460437059402466
0,swiglu,static_ephemeral,1,2048,8192,64,0,float16,0.13536736369132996
0,swiglu,dynamic_ephemeral,1,2048,8192,64,8,float16,0.6397372111678123
0,ffn,dense,8,2048,8192,0,0,float16,0.0744841992855072
0,swiglu,dense,8,2048,8192,0,0,float16,0.10186862200498581
0,ffn,static_ephemeral,8,2048,8192,16,0,float16,0.07715355604887009
0,ffn,dynamic_ephemeral,8,2048,8192,16,8,float16,0.29207542538642883
0,swiglu,static_ephemeral,8,2048,8192,16,0,float16,0.11081229895353317
0,swiglu,dynamic_ephemeral,8,2048,8192,16,8,float16,0.4189955070614815
0,ffn,static_ephemeral,8,2048,8192,32,0,float16,0.0749494880437851
0,ffn,dynamic_ephemeral,8,2048,8192,32,8,float16,0.3152027726173401
0,swiglu,static_ephemeral,8,2048,8192,32,0,float16,0.11927187442779541
0,swiglu,dynamic_ephemeral,8,2048,8192,32,8,float16,0.455554760992527
0,ffn,static_ephemeral,8,2048,8192,64,0,float16,0.07170531898736954
0,ffn,dynamic_ephemeral,8,2048,8192,64,8,float16,0.3528153523802757
0,swiglu,static_ephemeral,8,2048,8192,64,0,float16,0.12329332530498506
0,swiglu,dynamic_ephemeral,8,2048,8192,64,8,float16,0.5210194736719131
0,ffn,dense,1,4096,16384,0,0,float16,0.26523247361183167
0,swiglu,dense,1,4096,16384,0,0,float16,0.44656265527009964
0,ffn,static_ephemeral,1,4096,16384,16,0,float16,0.07927045226097107
0,ffn,dynamic_ephemeral,1,4096,16384,16,8,float16,0.41320379823446274
0,swiglu,static_ephemeral,1,4096,16384,16,0,float16,0.11624321341514587
0,swiglu,dynamic_ephemeral,1,4096,16384,16,8,float16,0.5565118044614792
0,ffn,static_ephemeral,1,4096,16384,32,0,float16,0.07878877222537994
0,ffn,dynamic_ephemeral,1,4096,16384,32,8,float16,0.4108220338821411
0,swiglu,static_ephemeral,1,4096,16384,32,0,float16,0.12160204350948334
0,swiglu,dynamic_ephemeral,1,4096,16384,32,8,float16,0.5952676758170128
0,ffn,static_ephemeral,1,4096,16384,64,0,float16,0.08073113858699799
0,ffn,dynamic_ephemeral,1,4096,16384,64,8,float16,0.47731585800647736
0,swiglu,static_ephemeral,1,4096,16384,64,0,float16,0.11917613446712494
0,swiglu,dynamic_ephemeral,1,4096,16384,64,8,float16,0.5474662408232689
0,ffn,dense,8,4096,16384,0,0,float16,0.280085951089859
0,swiglu,dense,8,4096,16384,0,0,float16,0.42825154960155487
0,ffn,static_ephemeral,8,4096,16384,16,0,float16,0.08136946707963943
0,ffn,dynamic_ephemeral,8,4096,16384,16,8,float16,0.37142764776945114
0,swiglu,static_ephemeral,8,4096,16384,16,0,float16,0.12076012790203094
0,swiglu,dynamic_ephemeral,8,4096,16384,16,8,float16,0.5357122048735619
0,ffn,static_ephemeral,8,4096,16384,32,0,float16,0.08256789296865463
0,ffn,dynamic_ephemeral,8,4096,16384,32,8,float16,0.3929330036044121
0,swiglu,static_ephemeral,8,4096,16384,32,0,float16,0.12022946029901505
0,swiglu,dynamic_ephemeral,8,4096,16384,32,8,float16,0.5581874400377274
0,ffn,static_ephemeral,8,4096,16384,64,0,float16,0.0789538025856018
0,ffn,dynamic_ephemeral,8,4096,16384,64,8,float16,0.4544060677289963
0,swiglu,static_ephemeral,8,4096,16384,64,0,float16,0.1223970204591751
0,swiglu,dynamic_ephemeral,8,4096,16384,64,8,float16,0.6532620638608932
0,ffn,dense,1,8192,32768,0,0,float16,1.4750508591532707
0,swiglu,dense,1,8192,32768,0,0,float16,2.039843238890171
0,ffn,static_ephemeral,1,8192,32768,16,0,float16,0.08696746081113815
0,ffn,dynamic_ephemeral,1,8192,32768,16,8,float16,0.3446107730269432
0,swiglu,static_ephemeral,1,8192,32768,16,0,float16,0.12107118964195251
0,swiglu,dynamic_ephemeral,1,8192,32768,16,8,float16,0.4945872351527214
0,ffn,static_ephemeral,1,8192,32768,32,0,float16,0.0914495438337326
0,ffn,dynamic_ephemeral,1,8192,32768,32,8,float16,0.408158078789711
0,swiglu,static_ephemeral,1,8192,32768,32,0,float16,0.12317020446062088
0,swiglu,dynamic_ephemeral,1,8192,32768,32,8,float16,0.5856301635503769
0,ffn,static_ephemeral,1,8192,32768,64,0,float16,0.0910535454750061
0,ffn,dynamic_ephemeral,1,8192,32768,64,8,float16,0.6365429610013962
0,swiglu,static_ephemeral,1,8192,32768,64,0,float16,0.12351814657449722
0,swiglu,dynamic_ephemeral,1,8192,32768,64,8,float16,0.9586811065673828
0,ffn,dense,8,8192,32768,0,0,float16,1.4589762315154076
0,swiglu,dense,8,8192,32768,0,0,float16,1.9711986184120178
0,ffn,static_ephemeral,8,8192,32768,16,0,float16,0.09269397705793381
0,ffn,dynamic_ephemeral,8,8192,32768,16,8,float16,0.3651464357972145
0,swiglu,static_ephemeral,8,8192,32768,16,0,float16,0.1271408051252365
0,swiglu,dynamic_ephemeral,8,8192,32768,16,8,float16,0.5185173824429512
0,ffn,static_ephemeral,8,8192,32768,32,0,float16,0.08730143308639526
0,ffn,dynamic_ephemeral,8,8192,32768,32,8,float16,0.4266265779733658
0,swiglu,static_ephemeral,8,8192,32768,32,0,float16,0.12084059417247772
0,swiglu,dynamic_ephemeral,8,8192,32768,32,8,float16,0.6087413057684898
0,ffn,static_ephemeral,8,8192,32768,64,0,float16,0.08765403181314468
0,ffn,dynamic_ephemeral,8,8192,32768,64,8,float16,0.657171942293644
0,swiglu,static_ephemeral,8,8192,32768,64,0,float16,0.12354832142591476
0,swiglu,dynamic_ephemeral,8,8192,32768,64,8,float16,0.9657332673668861
1,ffn,dense,1,2048,8192,0,0,float16,0.05444865673780441
1,swiglu,dense,1,2048,8192,0,0,float16,0.08333735167980194
1,ffn,static_ephemeral,1,2048,8192,16,0,float16,0.07468890398740768
1,ffn,dynamic_ephemeral,1,2048,8192,16,8,float16,0.26281140744686127
1,swiglu,static_ephemeral,1,2048,8192,16,0,float16,0.11622011661529541
1,swiglu,dynamic_ephemeral,1,2048,8192,16,8,float16,0.36408044397830963
1,ffn,static_ephemeral,1,2048,8192,32,0,float16,0.07588434964418411
1,ffn,dynamic_ephemeral,1,2048,8192,32,8,float16,0.2789739519357681
1,swiglu,static_ephemeral,1,2048,8192,32,0,float16,0.11841487139463425
1,swiglu,dynamic_ephemeral,1,2048,8192,32,8,float16,0.3848101943731308
1,ffn,static_ephemeral,1,2048,8192,64,0,float16,0.07461626082658768
1,ffn,dynamic_ephemeral,1,2048,8192,64,8,float16,0.47667864710092545
1,swiglu,static_ephemeral,1,2048,8192,64,0,float16,0.1200743019580841
1,swiglu,dynamic_ephemeral,1,2048,8192,64,8,float16,0.43175462633371353
1,ffn,dense,8,2048,8192,0,0,float16,0.06172563880681991
1,swiglu,dense,8,2048,8192,0,0,float16,0.08875280618667603
1,ffn,static_ephemeral,8,2048,8192,16,0,float16,0.07547084242105484
1,ffn,dynamic_ephemeral,8,2048,8192,16,8,float16,0.26749372482299805
1,swiglu,static_ephemeral,8,2048,8192,16,0,float16,0.11698920279741287
1,swiglu,dynamic_ephemeral,8,2048,8192,16,8,float16,0.379788875579834
1,ffn,static_ephemeral,8,2048,8192,32,0,float16,0.07743425667285919
1,ffn,dynamic_ephemeral,8,2048,8192,32,8,float16,0.28843358159065247
1,swiglu,static_ephemeral,8,2048,8192,32,0,float16,0.11854618787765503
1,swiglu,dynamic_ephemeral,8,2048,8192,32,8,float16,0.41027478873729706
1,ffn,static_ephemeral,8,2048,8192,64,0,float16,0.07594414055347443
1,ffn,dynamic_ephemeral,8,2048,8192,64,8,float16,0.3192143514752388
1,swiglu,static_ephemeral,8,2048,8192,64,0,float16,0.11835955083370209
1,swiglu,dynamic_ephemeral,8,2048,8192,64,8,float16,0.4595493897795677
1,ffn,dense,1,4096,16384,0,0,float16,0.27055833488702774
1,swiglu,dense,1,4096,16384,0,0,float16,0.4136977717280388
1,ffn,static_ephemeral,1,4096,16384,16,0,float16,0.07883813232183456
