scenario,hidden_dim,batch_tokens,best_static_rank,best_static_speedup,best_dynamic_rank,best_dynamic_speedup
ffn,2048,1,64,1.521757426933011,32,0.3738677538986241
ffn,2048,8,32,0.5957666666103536,32,0.1909902321339467
ffn,2048,32,64,0.9757644592955942,16,0.26964418115571737
ffn,4096,1,32,3.7986196602731357,32,0.6361111745330574
ffn,4096,8,64,3.7821401911738306,16,0.6823916021695297
ffn,4096,32,16,3.6431303110012614,16,0.7865342681458096
ffn,8192,1,64,15.466264556623068,16,3.6504984235804994
ffn,8192,8,32,16.59416098401068,32,3.1125970013725017
ffn,8192,32,64,14.335468829800654,16,3.8444708505698255
moe_top2,2048,1,64,1.150748040468977,32,0.4863092873856112
moe_top2,2048,8,32,0.8892308820883673,32,0.39161376505774836
moe_top2,2048,32,16,0.8340126800631905,32,0.38995941196198397
moe_top2,4096,1,32,2.3032321647331724,32,0.8256236981368004
moe_top2,4096,8,32,2.8663962020266687,16,0.9565418455790233
moe_top2,4096,32,16,2.4019857600235106,16,0.8603901177018528
moe_top2,8192,1,64,7.377613552900214,16,3.530255762101935
moe_top2,8192,8,32,8.637299439215631,16,3.4103489494364556
moe_top2,8192,32,64,9.223638816802104,16,3.2299785597020714
swiglu,2048,1,64,1.057602050990431,64,0.2824842753591609
swiglu,2048,8,64,2.0506396956039334,32,0.6466871746733177
swiglu,2048,32,32,0.9786463003486217,32,0.26531056877954634
swiglu,4096,1,16,3.104610822673589,16,0.7162720486498114
swiglu,4096,8,16,3.8413499404617344,32,0.7941986841508752
swiglu,4096,32,16,3.6777451980646525,16,0.7691665014698366
swiglu,8192,1,64,11.149080175844006,16,3.030435296723176
swiglu,8192,8,64,10.453282019328892,32,3.0105184036754293
swiglu,8192,32,16,15.78295927161003,16,3.643742760249449
