time mean_S std_S upper_S lower_S ideal_page hawking bh_entropy
0.00 0.00 0.00 0.00 0.00 0.00 0.00 12.00
1.00 0.99 0.20 1.19 0.79 1.00 1.00 11.00
2.00 2.03 0.28 2.31 1.74 2.00 2.00 10.00
3.00 3.00 0.39 3.39 2.61 3.00 3.00 9.00
4.00 4.07 0.48 4.55 3.59 4.00 4.00 8.00
5.00 5.03 0.54 5.58 4.49 5.00 5.00 7.00
6.00 5.97 0.60 6.58 5.37 6.00 6.00 6.00
7.00 4.91 0.54 5.44 4.37 5.00 7.00 5.00
8.00 4.03 0.52 4.55 3.51 4.00 8.00 4.00
9.00 2.98 0.41 3.39 2.58 3.00 9.00 3.00
10.00 2.01 0.30 2.30 1.71 2.00 10.00 2.00
11.00 1.02 0.21 1.23 0.81 1.00 11.00 1.00
12.00 0.00 0.00 0.00 0.00 0.00 12.00 0.00
