time mean_S std_S upper_S lower_S ideal_page hawking bh_entropy
0.00 0.00 0.00 0.00 0.00 0.00 0.00 12.00
1.00 0.97 0.42 1.39 0.55 1.00 1.00 11.00
2.00 2.03 0.50 2.53 1.54 2.00 2.00 10.00
3.00 2.91 0.61 3.52 2.31 3.00 3.00 9.00
4.00 3.99 0.84 4.82 3.15 4.00 4.00 8.00
5.00 4.94 1.01 5.95 3.94 5.00 5.00 7.00
6.00 6.08 0.96 7.04 5.13 6.00 6.00 6.00
7.00 4.93 0.98 5.92 3.95 5.00 7.00 5.00
8.00 3.95 0.89 4.84 3.06 4.00 8.00 4.00
9.00 2.99 0.66 3.66 2.33 3.00 9.00 3.00
10.00 1.99 0.55 2.55 1.44 2.00 10.00 2.00
11.00 1.01 0.41 1.41 0.60 1.00 11.00 1.00
12.00 0.00 0.00 0.00 0.00 0.00 12.00 0.00
