# time mean_S std_S ideal_page bh_entropy
0.00 -0.01 0.05 0.00 24.00
1.00 1.00 0.06 1.00 23.00
2.00 2.01 0.04 2.00 22.00
3.00 2.95 0.05 3.00 21.00
4.00 3.95 0.05 4.00 20.00
5.00 5.03 0.07 5.00 19.00
6.00 6.00 0.04 6.00 18.00
7.00 7.00 0.05 7.00 17.00
8.00 7.96 0.06 8.00 16.00
9.00 9.00 0.06 9.00 15.00
10.00 9.97 0.06 10.00 14.00
11.00 10.91 0.05 11.00 13.00
12.00 12.05 0.07 12.00 12.00
13.00 11.00 0.05 11.00 11.00
14.00 9.97 0.06 10.00 10.00
15.00 8.98 0.06 9.00 9.00
16.00 7.97 0.05 8.00 8.00
17.00 7.07 0.07 7.00 7.00
18.00 5.97 0.05 6.00 6.00
19.00 5.06 0.05 5.00 5.00
20.00 4.05 0.05 4.00 4.00
21.00 2.93 0.05 3.00 3.00
22.00 2.00 0.05 2.00 2.00
23.00 0.99 0.05 1.00 1.00
24.00 -0.05 0.05 0.00 0.00
