episode,latency_ms,compute,failures,reward
0,250.0,5000000000.0,74,-198.9999999999998
1,250.0,5000000000.0,66,-150.9999999999999
2,250.0,5000000000.0,75,-204.99999999999986
3,250.0,5000000000.0,75,-204.99999999999986
4,250.0,5000000000.0,80,-234.9999999999998
5,250.0,5000000000.0,77,-216.9999999999998
6,250.0,5000000000.0,77,-216.99999999999983
7,250.0,5000000000.0,67,-156.99999999999986
8,250.0,5000000000.0,82,-246.99999999999977
9,250.0,5000000000.0,68,-162.9999999999998
10,250.0,5000000000.0,99,-349.00000000000034
11,250.0,5000000000.0,69,-168.9999999999999
12,250.0,5000000000.0,84,-258.99999999999983
13,250.0,5000000000.0,71,-180.99999999999983
14,250.0,5000000000.0,86,-270.9999999999999
15,250.0,5000000000.0,77,-216.99999999999983
16,250.0,5000000000.0,76,-210.99999999999983
17,250.0,5000000000.0,78,-222.9999999999998
18,250.0,5000000000.0,81,-240.9999999999998
19,250.0,5000000000.0,73,-192.99999999999983
